"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_name","gene_symbol"
"100287102",56.6401206270351,0.893923904067164,1.03570090814285,0.863110090025976,0.388076940823199,0.999926738569017,"ENSG00000290825","DEAD/H-box helicase 11 like 1 (pseudogene)","DDX11L1"
"653635",202.57757613285,0.404052563540581,0.739605322515445,0.546308350197336,0.584853997340588,0.999926738569017,NA,"WASP family homolog 7, pseudogene","WASH7P"
"102466751",1.52542191471277,-0.740327470210335,1.95217420150904,-0.379232278368426,0.704515383955002,0.999926738569017,"ENSG00000278267","microRNA 6859-1","MIR6859-1"
"100996442",61.408010352955,-0.606976671231973,0.854956196007357,-0.709950608073902,0.477734765666368,0.999926738569017,NA,"WAS protein family homolog 9, pseudogene","WASH9P"
"729737",1674.88566787032,-0.379556719267955,0.721775262915133,-0.525865513504836,0.598981651672348,0.999926738569017,NA,"uncharacterized LOC729737","LOC729737"
"102725121",65.3620418560106,0.3202551814328,1.03986140824375,0.307978716099952,0.758098527796904,0.999926738569017,"ENSG00000290825","DEAD/H-box helicase 11 like 17 (pseudogene)","DDX11L17"
"102723897",191.913910062585,0.094673645964506,0.740388101664226,0.127870296337422,0.898251618127833,0.999926738569017,NA,"WAS protein family homolog 9, pseudogene","LOC102723897"
"112268260",4.45447958311069,-0.872035560952486,1.32915307977402,-0.656083617622695,0.51177032453986,0.999926738569017,NA,"uncharacterized LOC112268260","LOC112268260"
"100132287",501.941097383499,-0.446813821938021,0.694641253898976,-0.643229608708214,0.520075123631313,0.999926738569017,NA,"uncharacterized LOC100132287","LOC100132287"
"113219467",54.8988961847716,0.21215464890821,0.784178082492386,0.27054396653616,0.786741797123951,0.999926738569017,"ENSG00000210151","microRNA 12136","MIR12136"
"81399",2.94179796831173,-1.854605014277,1.52580607794303,-1.21549195607953,0.224178514893188,0.999926738569017,"ENSG00000284662","olfactory receptor family 4 subfamily F member 16","OR4F16"
"100133331",403.347033187476,-0.609558454080156,0.704670903488305,-0.865025717767943,0.387024673376557,0.999926738569017,NA,NA,NA
"107984841",38.1453556937723,-0.359736263095397,0.822506840792234,-0.437365679231192,0.661846170182221,0.999926738569017,NA,NA,NA
"107984847",48.7575448132134,-0.886530933730562,0.773574549242491,-1.14601874453946,0.25178739624861,0.999926738569017,NA,NA,NA
"107984849",25.3871366392722,-0.913710851737899,0.906786856033827,-1.00763574775924,0.313629360907844,0.999926738569017,NA,NA,NA
"100288069",33.3765606594509,-0.658506053215135,0.855469865379678,-0.769759496931986,0.44144256979158,0.999926738569017,NA,"uncharacterized LOC100288069","LOC100288069"
"105378580",5.38763048751052,0.182405895353454,1.14471346355352,0.159346335271723,0.873396016819064,0.999926738569017,"ENSG00000237491","long intergenic non-protein coding RNA 1409","LINC01409"
"400728",4.94453248243861,1.62882725601148,1.16052979043488,1.40352041751649,0.160461707861527,0.999926738569017,"ENSG00000177757","family with sequence similarity 87 member B","FAM87B"
"79854",6.0660672446296,1.34846385003308,1.28710920160329,1.04766856483767,0.294791335484462,0.999926738569017,NA,"long intergenic non-protein coding RNA 115","LINC00115"
"643837",32.3649864169933,0.405633422272736,0.868322005641066,0.46714631166495,0.640395202160288,0.999926738569017,"ENSG00000228794","long intergenic non-protein coding RNA 1128","LINC01128"
"107984850",1.69596706106709,1.33541384143141,1.70100433024522,0.785073745955072,0.432410331736174,0.999926738569017,"ENSG00000288531","uncharacterized LOC107984850","LOC107984850"
"148398",39.3866329062383,0.202874962913535,0.876023847854278,0.231586118814522,0.816859490020424,0.999926738569017,"ENSG00000187634","sterile alpha motif domain containing 11","SAMD11"
"26155",511.221903761158,0.20251162544343,0.889639870272674,0.227633261739225,0.819931359580132,0.999926738569017,"ENSG00000188976","NOC2 like nucleolar associated transcriptional repressor","NOC2L"
"339451",38.2366623303883,0.698638693423359,0.845861479518105,0.825949295883978,0.408832855061803,0.999926738569017,"ENSG00000187961","kelch like family member 17","KLHL17"
"84069",14.7789832708317,0.0795598019778887,1.07411196538921,0.0740703060216443,0.940954442699581,0.999926738569017,"ENSG00000187583","pleckstrin homology domain containing N1","PLEKHN1"
"57801",70.4579883488293,-0.908347538623159,1.06683453204394,-0.851441822831575,NA,NA,"ENSG00000188290","hes family bHLH transcription factor 4","HES4"
"9636",6473.98321494704,-1.97576653774892,1.23932105946228,-1.5942330057767,0.110883856527984,0.999926738569017,"ENSG00000187608","ISG15 ubiquitin like modifier","ISG15"
"375790",174.241082485173,-0.570395184802548,1.10042128512175,-0.518342558904104,0.604219284153,0.999926738569017,"ENSG00000188157","agrin","AGRN"
"112267874",1.97792027743072,0.686239174554604,1.61972995936062,0.423675051874384,0.671802812088626,0.999926738569017,NA,NA,NA
"105378948",3.58685926130314,-0.0503180614240073,1.26606412141082,-0.0397436911551812,0.968297468671201,0.999926738569017,NA,"uncharacterized LOC105378948","LOC105378948"
"54991",51.1855524483816,0.172383130366576,0.846632445890664,0.203610352052156,0.838658002842201,0.999926738569017,"ENSG00000131591","chromosome 1 open reading frame 159","C1orf159"
"8784",69.4789027964564,1.50577134001129,0.864713187573948,1.74135350501119,0.0816216328294963,0.999926738569017,"ENSG00000186891","TNF receptor superfamily member 18","TNFRSF18"
"7293",42.5185773632207,0.546907999767774,0.869629981275792,0.628897360421535,0.52941625425059,0.999926738569017,"ENSG00000186827","TNF receptor superfamily member 4","TNFRSF4"
"51150",1489.82738519649,-0.155362711860957,0.845232775277895,-0.183810562492536,0.854162069653789,0.999926738569017,"ENSG00000078808","stromal cell derived factor 4","SDF4"
"126792",226.027184518487,0.196331994067546,1.05489037241561,0.18611601660366,0.852353781922706,0.999926738569017,"ENSG00000176022","beta-1,3-galactosyltransferase 6","B3GALT6"
"388581",4.25914379817712,0.239535507866924,1.29592994865568,0.184836771551891,0.853357065236771,0.999926738569017,"ENSG00000184163","C1q and TNF related 12","C1QTNF12"
"118424",514.028123033544,-0.232891539401885,0.866594254357308,-0.268743461234467,0.788127104440944,0.999926738569017,"ENSG00000160087","ubiquitin conjugating enzyme E2 J2","UBE2J2"
"101928895",3.96372588780049,0.624830323636864,1.44909941399733,0.431185271073482,0.666333662653136,0.999926738569017,NA,"long intergenic non-protein coding RNA 1786","LINC01786"
"6339",18.7883231011387,1.31673036690935,1.06435694549329,1.23711351956189,0.216044941291714,0.999926738569017,"ENSG00000162572","sodium channel epithelial 1 subunit delta","SCNN1D"
"116983",338.089413112021,0.394117244099041,0.844970374615867,0.466427292528701,0.640909679568257,0.999926738569017,"ENSG00000131584","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","ACAP3"
"126789",94.8637780874336,0.0964738562355057,0.887932219533773,0.108650023181005,0.91348008281101,0.999926738569017,"ENSG00000169972","pseudouridine synthase like 1","PUSL1"
"54973",706.439709793958,0.284272120310029,0.878693097696296,0.323516960649078,0.746303764826249,0.999926738569017,"ENSG00000127054","integrator complex subunit 11","INTS11"
"80772",282.59223736755,0.024437385837791,0.977053961377589,0.0250112960018459,0.980045953521418,0.999926738569017,"ENSG00000224051","ceramide-1-phosphate transfer protein","CPTP"
